Issuer ID,Issuer
4404,"AGM Financial Services, Inc."
3758,"Arbor Agency Lending, LLC"
4067,"Bellwether Enterprise Real Estate Capital, LLC"
4082,Berkadia Commerical Mortgage
4170,"Berkeley Point Capital, LLC dba Newmark"
4012,"Bonneville Mortgage Company, LLC"
3733,Cambridge Realty Capital Ltd. of Illinois
3866,"Capital Funding, LLC"
4147,"Capital One, N.A."
4051,"CBRE HMF, Inc."
3044,"Centennial Mortgage, Inc."
3799,"Century Health & Housing Capital, LLC"
4347,"Churchill Mortgage Investment, LLC"
3995,Colliers Mortgage LLC
3965,"ColumbiaNational Real Estate Finance, LLC"
2973,Davis-Penn Mortgage Co.
4398,Dwight Capital LLC.
3969,First American Capital Group Corporation
3752,First Housing Development Corp. of Florida
2045,Gershman Investment Corporation
4016,Grandbridge Real Estate Capital
4168,Greystone Funding Company LLC
3500,Greystone Servicing Company LLC
4451,"Harper Capital Partners, LLC"
4188,"Highland Commercial Mortgage, LLC"
3829,"Hudson Realty Finance, LLC"
4065,"JLL Real Estate Capital, LLC"
4271,"Keybank, NA"
4363,"Legacy Capital Mortgage, LLC"
3896,"Lument Real Estate Capital, LLC"
3640,M & T Realty Capital Corporation
4281,Massachusetts Housing Finance Agency
3487,Merchants Capital Corp.
4265,"Merchants Capital Servicing, LLC"
3958,"MidCap Financial Housing Capital, Inc."
4300,Midland States Bank
4223,NewPoint Real Estate Capital LLC
4013,"NorthMarq Finance, LLC"
4084,"NorthPoint Capital, LLC"
3153,"PGIM Real Estate Agency Financing, LLC"
3927,"PGIM Real Estate Loan Services, Inc."
3976,"PNC Bank, N.A."
4411,Regions Bank
4301,Rhode Island Housing and Mortgage Finance Corporation
3917,Rockhall Funding Corporation
1535,"Rose Community Capital, LLC"
4432,"Smartfi Home Loans, LLC"
4428,"Sun West Mortgage Company, Inc."
3455,"VIUM Capital Mortgage, LLC"
4080,"Walker & Dunlop, LLC"
3998,"Wells Fargo Bank, N.A."
3854,X-Caliber Capital LLC
3912,Ziegler Financing Corporation
